i,M[i]
1,7.8012973575294495
2,4.125853368952211
3,2.242418224630486
4,3.08336752838189
5,3.5828147795277934
6,3.310568163867095
7,3.146959896507115
8,29.27147102217235
9,1.85914
10,0.6690878999632218
11,0.7356747712061193
12,0.7553245896230306
13,0.6817279123112213
14,0.712415929872289
15,0.6639655404495894
16,0.7001066098081024
17,0.6589762359154009
18,0.6521979303487473
19,0.6247130362722152
20,0.5859387726290411
21,1.5913868294810292
22,0.7949643100501558
23,0.6779930697970441
24,0.5947071067499257
25,0.6369215738520295
26,0.6311853346498948
27,0.6794449088263521
28,0.7036981737025744
29,0.7639535501902498
30,0.6639881461218442
31,0.7360949116643173
32,0.742340707655803
33,0.7358693623639191
34,0.2938077303797246
35,0.5589679943624641
36,0.5778683237292509
37,0.5832268386681291
38,0.606825952668712
39,0.6395322416152777
40,0.6562297536409418
41,0.732323205880659
42,0.630420616736384
43,0.6094429138361465
44,0.5945756359573307
45,0.7097307206971263
46,0.6633787771121474
47,0.5933246908073815
48,0.6052746285275319
49,0.5925130871794076
50,0.7297783054594583
51,0.5688783576318386
52,0.5997642271785218
53,0.5935345852151177
54,0.6130776813204797
55,0.5382364702745934
56,0.5750090225940047
57,0.6099984015900703
58,0.597555542781594
59,0.5786952252487947
60,0.5750778310378177
61,1.4313708049064693
62,1.5870083102493076
63,1.5819640881152304
64,1.5494568422492117
65,1.4635798513735052
66,1.5629787386355503
67,1.5711705019331093
68,1.497810636936239
69,1.4466720830943733
70,1.3223250274825944
71,1.4061777634991655
72,1.2832786839105532
73,1.2849619359346842
74,8.288697355188171
75,1.4867891620641647
76,1.4345289857860755
77,1.2527234736457036
78,1.4843147901632452
79,1.5523788638834828
80,1.5616558122936925
81,1.5324580972161679
82,1.525701012666689
83,1.4849325809873772
84,1.508379495981899
85,1.5117050959710554
86,1.47618655117119
87,1.5495145479276433
88,1.5398380109248446
89,1.4934419729282153
90,0.9106069722698876
91,0.9000400908726447
92,0.8745827783436496
93,0.8393790418883081
94,0.8471458577871132
95,0.8489155996864385
96,0.8613638751707471
97,0.8827370387003415
98,0.8707186147186147
99,0.9469225611558509
100,0.9474990246803829
101,0.9019925450322983
102,0.8888759108930808
103,0.8670308813264028
104,0.8959794036736214
105,0.9039906737184595
106,0.8264508258376896
107,0.8424472560027497
108,0.8747030779291187
109,0.9702773961979883
110,0.8855188805314803
111,0.9340122541476653
112,0.892358376858176
113,0.9082630549538371
114,0.8987061038146137
115,0.9159567644361513
116,0.9215486130865727
117,0.8998671608853084
118,0.9970674486803519
119,0.8989447260031959
120,0.910464465584779
121,0.9325450485864335
122,0.8957516505489543
123,0.9340698366383199
124,0.9249591846831248
125,0.9603180381820565
126,0.8821171978606508
127,0.8679876529944419
128,0.8539599040359449
129,2.252271113034834
130,9.670132052962229
131,9.68902867973233
132,9.56209879661007
133,9.357011101818223
134,9.46122212232824
135,9.381983284287575
136,2.5574713645635385
137,0.8622716763330952
138,0.868695632056265
139,0.8733484820089955
140,0.8701758358309449
141,0.8711888847519931
142,0.8724689648643211
143,0.9645274185324247
144,0.8551783461406125
145,0.8546483353644233
146,0.838514901663733
147,0.900064596605337
148,0.8999198869515872
149,0.8493951317524435
150,0.8351837325770832
151,0.9034336827931134
